,Unnamed: 0.1,Unnamed: 0,index,Datetime,Longitude,Latitude,SPEED,delta_time,position1,position2,road_one,road_two,road_two_type,road_one_type
68598,68598,68598,0,2023-07-11 14:23:53,117.2769253,39.0622061,0.0,1.0,1.0,1.0,浯水道,浯水道,secondary,secondary
68599,68599,68599,1,2023-07-11 14:23:54,117.2769253,39.0622061,0.1,1.0,1.0,1.0,浯水道,浯水道,secondary,secondary
68600,68600,68600,2,2023-07-11 14:23:55,117.2769253,39.0622061,0.5,1.0,1.0,1.0,艺林路,宽福道,residential,tertiary
68601,68601,68601,3,2023-07-11 14:23:56,117.2769253,39.0622061,0.0,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68602,68602,68602,4,2023-07-11 14:23:57,117.2769253,39.0622061,0.0,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68603,68603,68603,5,2023-07-11 14:23:58,117.2769253,39.0622061,0.7,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68604,68604,68604,6,2023-07-11 14:23:59,117.2769253,39.0622061,2.7,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68605,68605,68605,7,2023-07-11 14:24:00,117.2769317,39.0622251,3.5,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68606,68606,68606,8,2023-07-11 14:24:01,117.2769336,39.0622373,2.5,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68607,68607,68607,9,2023-07-11 14:24:02,117.2769365,39.0622484,3.1,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68608,68608,68608,10,2023-07-11 14:24:03,117.2769347,39.0622633,4.4,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68609,68609,68609,11,2023-07-11 14:24:04,117.2769343,39.0622829,6.1,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68610,68610,68610,12,2023-07-11 14:24:05,117.276932,39.0623068,8.1,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68611,68611,68611,13,2023-07-11 14:24:06,117.2769296,39.0623315,9.2,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68612,68612,68612,14,2023-07-11 14:24:07,117.2769277,39.0623555,9.8,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68613,68613,68613,15,2023-07-11 14:24:08,117.2769236,39.0623872,11.1,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68614,68614,68614,16,2023-07-11 14:24:09,117.2769187,39.0624208,12.9,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68615,68615,68615,17,2023-07-11 14:24:10,117.2769048,39.0624731,14.8,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68616,68616,68616,18,2023-07-11 14:24:11,117.2768995,39.0625188,15.9,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68617,68617,68617,19,2023-07-11 14:24:12,117.2768995,39.0625786,19.6,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68618,68618,68618,20,2023-07-11 14:24:13,117.2768992,39.0626385,22.0,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
68619,68619,68619,21,2023-07-11 14:24:14,117.2768925,39.0626978,23.1,1.0,1.0,1.0,艺林路,艺林路,tertiary,tertiary
