FID,osm_id,name,ref,type,oneway,bridge,maxspeed
2665,104519984.000000000000000, , ,motorway_link,1,0,0
2666,104519988.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2667,104520295.000000000000000, , ,motorway_link,1,0,0
2668,104520305.000000000000000, , ,motorway_link,1,0,0
2669,104520527.000000000000000, , ,motorway_link,1,0,0
2670,104520708.000000000000000, , ,motorway_link,1,0,0
2671,104520710.000000000000000, , ,motorway_link,1,1,0
2672,104520716.000000000000000, , ,motorway_link,1,1,0
2673,104520808.000000000000000,荣乌高速,G18,motorway_link,1,1,0
2674,104521878.000000000000000, , ,motorway_link,1,1,0
2675,104521881.000000000000000, , ,motorway_link,1,1,0
2676,104521884.000000000000000, , ,motorway_link,1,0,0
2677,104522565.000000000000000,荣乌高速,G18,motorway_link,1,0,0
2678,104523679.000000000000000,津晋高速,S50,motorway,1,0,0
2679,104523681.000000000000000,荣乌高速,G18,motorway,1,0,0
2680,104524700.000000000000000,荣乌高速,G18,motorway,1,0,0
2681,104524701.000000000000000,荣乌高速,G18,motorway,1,1,0
2682,104632112.000000000000000, , ,motorway_link,1,0,0
2683,104632148.000000000000000, , ,service,1,0,0
2684,104632392.000000000000000,津晋高速,S50,motorway,1,0,0
2685,104632393.000000000000000, , ,motorway_link,1,1,0
2686,104632394.000000000000000,津晋高速,S50,motorway,1,1,0
2687,104632433.000000000000000, , ,motorway_link,1,0,0
2688,104632498.000000000000000, , ,motorway_link,1,0,0
2689,104632635.000000000000000, , ,service,0,0,0
2690,104632638.000000000000000, , ,service,0,0,0
2691,104632749.000000000000000,外环西路（山深线）,G205,trunk,1,0,0
2692,104632753.000000000000000,外环西路（山深线）,G205,trunk,1,1,0
2693,104632754.000000000000000,外环西路（山深线）,G205,trunk,1,0,0
2694,104632758.000000000000000,外环西路（山深线）,G205,trunk,1,1,0
2695,104632947.000000000000000, , ,unclassified,0,0,0
2696,104632948.000000000000000, , ,unclassified,0,0,0
2697,104632952.000000000000000,辛院桥, ,unclassified,0,1,0
2698,104632953.000000000000000, , ,unclassified,0,1,0
2699,104633939.000000000000000,外环西路（山深线）,G205,trunk,1,1,0
2700,104633940.000000000000000,外环西路（山深线）,G205,trunk,1,0,0
2701,104634195.000000000000000, , ,tertiary,0,0,0
2702,104634196.000000000000000, , ,residential,0,0,0
2703,104634917.000000000000000,津涞公路, ,primary,1,0,0
