,Unnamed: 0.1,Unnamed: 0,index,Datetime,Longitude,Latitude,SPEED,delta_time,position1,position2,road_one,road_two,road_two_type,road_one_type
191282,191282,191282,0,2023-07-19 09:34:31,117.157045,39.1000497,0.0,0.0,1.0,1.0,大学道,大学道,secondary,secondary
191283,191283,191283,1,2023-07-19 09:34:32,117.1570436,39.1000494,0.0,1.0,1.0,1.0,大学道,大学道,secondary,secondary
191284,191284,191284,2,2023-07-19 09:34:33,117.1570425,39.1000488,0.0,1.0,1.0,1.0,大学道,大学道,secondary,secondary
191285,191285,191285,3,2023-07-19 09:34:34,117.1570422,39.1000478,0.0,1.0,1.0,1.0,大学道,大学道,secondary,secondary
191286,191286,191286,4,2023-07-19 09:34:35,117.157042,39.1000469,0.1,1.0,1.0,1.0,大学道,大学道,secondary,secondary
191287,191287,191287,5,2023-07-19 09:34:36,117.1570417,39.100046,0.3,1.0,1.0,1.0,大学道,大学道,secondary,secondary
191288,191288,191288,6,2023-07-19 09:34:37,117.1570408,39.1000449,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191289,191289,191289,7,2023-07-19 09:34:38,117.1570391,39.1000436,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191290,191290,191290,8,2023-07-19 09:34:39,117.1570353,39.1000417,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191291,191291,191291,9,2023-07-19 09:34:40,117.1570312,39.1000396,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191292,191292,191292,10,2023-07-19 09:34:41,117.1570273,39.100037,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191293,191293,191293,11,2023-07-19 09:34:42,117.1570247,39.1000345,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191294,191294,191294,12,2023-07-19 09:34:43,117.1570227,39.1000322,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191295,191295,191295,13,2023-07-19 09:34:44,117.157021,39.1000298,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191296,191296,191296,14,2023-07-19 09:34:45,117.1570196,39.1000275,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191297,191297,191297,15,2023-07-19 09:34:46,117.1570183,39.1000299,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191298,191298,191298,16,2023-07-19 09:34:47,117.1570169,39.100035,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191299,191299,191299,17,2023-07-19 09:34:48,117.1570165,39.1000413,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191300,191300,191300,18,2023-07-19 09:34:49,117.1570171,39.1000435,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191301,191301,191301,19,2023-07-19 09:34:50,117.1570191,39.1000434,0.7,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191302,191302,191302,20,2023-07-19 09:34:51,117.1570234,39.1000434,1.2,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191303,191303,191303,21,2023-07-19 09:34:52,117.1570301,39.1000413,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191304,191304,191304,22,2023-07-19 09:34:53,117.1570366,39.1000391,0.3,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191305,191305,191305,23,2023-07-19 09:34:54,117.1570404,39.1000366,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191306,191306,191306,24,2023-07-19 09:34:55,117.157043,39.1000361,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191307,191307,191307,25,2023-07-19 09:34:56,117.1570463,39.1000374,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191308,191308,191308,26,2023-07-19 09:34:57,117.1570496,39.1000386,0.3,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191309,191309,191309,27,2023-07-19 09:34:58,117.1570514,39.1000403,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191310,191310,191310,28,2023-07-19 09:34:59,117.1570526,39.1000412,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191311,191311,191311,29,2023-07-19 09:35:00,117.1570552,39.1000423,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191312,191312,191312,30,2023-07-19 09:35:01,117.1570584,39.1000435,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191313,191313,191313,31,2023-07-19 09:35:02,117.1570614,39.1000455,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191314,191314,191314,32,2023-07-19 09:35:03,117.1570631,39.1000475,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191315,191315,191315,33,2023-07-19 09:35:04,117.1570636,39.1000494,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191316,191316,191316,34,2023-07-19 09:35:05,117.1570636,39.1000515,0.3,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191317,191317,191317,35,2023-07-19 09:35:06,117.157063,39.1000534,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191318,191318,191318,36,2023-07-19 09:35:07,117.1570627,39.1000549,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191319,191319,191319,37,2023-07-19 09:35:08,117.1570627,39.1000558,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191320,191320,191320,38,2023-07-19 09:35:09,117.1570631,39.1000564,1.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191321,191321,191321,39,2023-07-19 09:35:10,117.1570615,39.100057,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191322,191322,191322,40,2023-07-19 09:35:11,117.1570587,39.1000581,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191323,191323,191323,41,2023-07-19 09:35:12,117.1570557,39.1000591,0.9,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191324,191324,191324,42,2023-07-19 09:35:13,117.1570544,39.1000599,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191325,191325,191325,43,2023-07-19 09:35:14,117.1570551,39.1000599,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191326,191326,191326,44,2023-07-19 09:35:15,117.157056,39.1000598,0.5,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191327,191327,191327,45,2023-07-19 09:35:16,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191328,191328,191328,46,2023-07-19 09:35:17,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191329,191329,191329,47,2023-07-19 09:35:18,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191330,191330,191330,48,2023-07-19 09:35:19,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191331,191331,191331,49,2023-07-19 09:35:20,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191332,191332,191332,50,2023-07-19 09:35:21,117.157057,39.1000598,0.5,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191333,191333,191333,51,2023-07-19 09:35:22,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191334,191334,191334,52,2023-07-19 09:35:23,117.157057,39.1000598,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191335,191335,191335,53,2023-07-19 09:35:24,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191336,191336,191336,54,2023-07-19 09:35:25,117.157057,39.1000598,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191337,191337,191337,55,2023-07-19 09:35:26,117.157057,39.1000598,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191338,191338,191338,56,2023-07-19 09:35:27,117.157057,39.1000598,0.0,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
191339,191339,191339,57,2023-07-19 09:35:28,117.157057,39.1000598,0.1,1.0,1.0,1.0,复康路,南丰路,tertiary,primary
