,Unnamed: 0.1,Unnamed: 0,index,Datetime,Longitude,Latitude,SPEED,delta_time,position1,position2,road_one,road_two,road_two_type,road_one_type
192497,192497,192497,0,2023-07-19 09:56:02,117.1200503,39.1451151,0.0,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192498,192498,192498,1,2023-07-19 09:56:03,117.1200503,39.1451151,0.0,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192499,192499,192499,2,2023-07-19 09:56:04,117.1200503,39.1451151,0.0,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192500,192500,192500,3,2023-07-19 09:56:05,117.1200503,39.1451151,0.0,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192501,192501,192501,4,2023-07-19 09:56:06,117.1200503,39.1451151,0.1,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192502,192502,192502,5,2023-07-19 09:56:07,117.1200503,39.1451151,1.2,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192503,192503,192503,6,2023-07-19 09:56:08,117.1200476,39.1451315,2.2,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192504,192504,192504,7,2023-07-19 09:56:09,117.1200476,39.1451315,0.7,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192505,192505,192505,8,2023-07-19 09:56:10,117.1200476,39.1451315,0.1,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192506,192506,192506,9,2023-07-19 09:56:11,117.1200476,39.1451315,0.0,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192507,192507,192507,10,2023-07-19 09:56:12,117.1200476,39.1451315,0.1,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192508,192508,192508,11,2023-07-19 09:56:13,117.1200476,39.1451315,0.5,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192509,192509,192509,12,2023-07-19 09:56:14,117.1200476,39.1451315,2.7,1.0,1.0,1.0,密云路,密云路,trunk,trunk
192510,192510,192510,13,2023-07-19 09:56:15,117.1200422,39.1451632,5.3,1.0,1.0,1.0,密云路,集园道,,trunk
192511,192511,192511,14,2023-07-19 09:56:16,117.1200413,39.1451816,5.9,1.0,1.0,1.0,密云路,集园道,,trunk
192512,192512,192512,15,2023-07-19 09:56:17,117.1200419,39.1451979,6.1,1.0,1.0,1.0,密云路,集园道,,trunk
192513,192513,192513,16,2023-07-19 09:56:18,117.1200392,39.1452164,7.0,1.0,1.0,1.0,密云路,集园道,,trunk
192514,192514,192514,17,2023-07-19 09:56:19,117.1200376,39.1452389,7.7,1.0,1.0,1.0,密云路,集园道,,trunk
192515,192515,192515,18,2023-07-19 09:56:20,117.1200393,39.1452648,8.3,1.0,1.0,1.0,密云路,集园道,,trunk
192516,192516,192516,19,2023-07-19 09:56:21,117.1200395,39.1452884,8.3,1.0,1.0,1.0,密云路,集园道,,trunk
192517,192517,192517,20,2023-07-19 09:56:22,117.1200397,39.1453042,7.7,1.0,1.0,1.0,密云路,集园道,,trunk
192518,192518,192518,21,2023-07-19 09:56:23,117.1200411,39.145317,7.2,1.0,1.0,1.0,密云路,集园道,,trunk
192519,192519,192519,22,2023-07-19 09:56:24,117.1200422,39.1453312,6.4,1.0,1.0,1.0,密云路,集园道,,trunk
192520,192520,192520,23,2023-07-19 09:56:25,117.1200425,39.1453335,1.2,1.0,1.0,1.0,密云路,集园道,,trunk
