,Unnamed: 0.1,Unnamed: 0,index,Datetime,Longitude,Latitude,SPEED,delta_time,position1,position2,road_one,road_two,road_two_type,road_one_type
223855,223855,223855,0,2023-07-03 17:32:43,117.8212689,39.0132193,0.0,0.0,1.0,1.0,新阔路,新阔路,trunk,trunk
223856,223856,223856,1,2023-07-03 17:32:44,117.8212697,39.0132224,0.1,1.0,1.0,1.0,新阔路,新阔路,trunk,trunk
223857,223857,223857,2,2023-07-03 17:32:45,117.821268,39.0132248,0.5,1.0,1.0,1.0,新阔路,新阔路,trunk,trunk
223858,223858,223858,3,2023-07-03 17:32:46,117.8212668,39.0132278,0.7,1.0,1.0,1.0,新阔路,新阔路,trunk,trunk
223859,223859,223859,4,2023-07-03 17:32:47,117.8212662,39.0132306,0.0,1.0,1.0,1.0,新阔路,新阔路,trunk,trunk
