Datetime,Longitude,Latitude,SPEED,delta_time
2023-07-18 14:58:54,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:58:55,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:58:56,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:58:57,117.4348109,38.9773222,0.1,1.0
2023-07-18 14:58:58,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:58:59,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:59:00,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:59:01,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:59:02,117.4348109,38.9773222,0.0,1.0
2023-07-18 14:59:03,117.4348109,38.9773222,0.1,1.0
2023-07-18 14:59:04,117.4348109,38.9773222,1.2,1.0
2023-07-18 14:59:05,117.4347951,38.977316,3.5,1.0
2023-07-18 14:59:06,117.4347705,38.9773151,5.7,1.0
2023-07-18 14:59:07,117.434728,38.977313,9.0,1.0
2023-07-18 14:59:08,117.434666,38.9773099,13.7,1.0
2023-07-18 14:59:09,117.4345903,38.9773063,18.1,1.0
2023-07-18 14:59:10,117.4345101,38.9773044,21.2,1.0
2023-07-18 14:59:11,117.4344186,38.9773041,24.6,1.0
2023-07-18 14:59:12,117.4343141,38.9773055,28.3,1.0
2023-07-18 14:59:13,117.4341905,38.9773062,32.9,1.0
2023-07-18 14:59:14,117.4340456,38.9773049,38.5,1.0
2023-07-18 14:59:15,117.433873,38.977303,45.9,1.0
2023-07-18 14:59:16,117.4336733,38.9772981,53.3,1.0
2023-07-18 14:59:17,117.4334608,38.9772921,59.0,1.0
2023-07-18 14:59:18,117.4332455,38.9772876,62.5,1.0
2023-07-18 14:59:19,117.4330306,38.9772844,64.6,1.0
2023-07-18 14:59:20,117.4328161,38.9772845,65.7,1.0
2023-07-18 14:59:21,117.4326015,38.9772834,66.3,1.0
2023-07-18 14:59:22,117.4323862,38.9772841,66.6,1.0
2023-07-18 14:59:23,117.4321707,38.977287,67.0,1.0
2023-07-18 14:59:24,117.4319546,38.9772912,67.2,1.0
2023-07-18 14:59:25,117.4317375,38.9772958,67.4,1.0
2023-07-18 14:59:26,117.4315208,38.9773019,67.4,1.0
2023-07-18 14:59:27,117.4313036,38.9773087,67.5,1.0
2023-07-18 14:59:28,117.4310879,38.9773157,67.5,1.0
2023-07-18 14:59:29,117.4308747,38.9773228,67.0,1.0
2023-07-18 14:59:30,117.4306644,38.9773297,66.4,1.0
2023-07-18 14:59:31,117.4304568,38.9773366,65.7,1.0
2023-07-18 14:59:32,117.4302526,38.9773437,64.8,1.0
2023-07-18 14:59:33,117.4300551,38.9773502,63.1,1.0
2023-07-18 14:59:34,117.4298635,38.9773567,61.6,1.0
2023-07-18 14:59:35,117.4296786,38.9773638,59.8,1.0
2023-07-18 14:59:36,117.4295037,38.9773713,57.4,1.0
2023-07-18 14:59:37,117.4293372,38.977378,55.0,1.0
2023-07-18 14:59:38,117.4291766,38.9773834,52.7,1.0
2023-07-18 14:59:39,117.4290174,38.9773896,51.4,1.0
2023-07-18 14:59:40,117.4288579,38.9773958,50.7,1.0
2023-07-18 14:59:41,117.4286962,38.9774022,50.7,1.0
2023-07-18 14:59:42,117.4285269,38.9774091,51.6,1.0
2023-07-18 14:59:43,117.4283457,38.977416,53.8,1.0
2023-07-18 14:59:44,117.4281529,38.9774224,56.6,1.0
2023-07-18 14:59:45,117.427949,38.9774285,59.8,1.0
2023-07-18 14:59:46,117.4277398,38.9774355,62.2,1.0
2023-07-18 14:59:47,117.4275311,38.9774427,63.3,1.0
2023-07-18 14:59:48,117.4273262,38.9774503,63.5,1.0
2023-07-18 14:59:49,117.4271231,38.9774577,63.5,1.0
2023-07-18 14:59:50,117.4269211,38.9774644,63.1,1.0
2023-07-18 14:59:51,117.42672,38.9774725,62.9,1.0
2023-07-18 14:59:52,117.4265205,38.9774802,62.5,1.0
2023-07-18 14:59:53,117.4263225,38.9774864,62.2,1.0
2023-07-18 14:59:54,117.4261263,38.9774934,61.6,1.0
2023-07-18 14:59:55,117.4259361,38.9775007,60.5,1.0
2023-07-18 14:59:56,117.4257503,38.977508,59.2,1.0
2023-07-18 14:59:57,117.4255694,38.977514,57.9,1.0
2023-07-18 14:59:58,117.4253914,38.9775204,56.8,1.0
2023-07-18 14:59:59,117.4252179,38.9775261,55.5,1.0
2023-07-18 15:00:00,117.4250506,38.9775315,53.8,1.0
2023-07-18 15:00:01,117.4248909,38.9775369,51.8,1.0
2023-07-18 15:00:02,117.4247444,38.9775422,49.0,1.0
2023-07-18 15:00:03,117.4246066,38.9775472,46.3,1.0
2023-07-18 15:00:04,117.4244707,38.9775521,44.4,1.0
2023-07-18 15:00:05,117.424333,38.9775571,43.8,1.0
2023-07-18 15:00:06,117.4241881,38.9775627,44.6,1.0
2023-07-18 15:00:07,117.4240291,38.9775693,47.0,1.0
2023-07-18 15:00:08,117.4238562,38.9775769,50.1,1.0
2023-07-18 15:00:09,117.4236704,38.9775846,53.7,1.0
2023-07-18 15:00:10,117.4234712,38.9775913,57.5,1.0
2023-07-18 15:00:11,117.4232594,38.9775983,61.4,1.0
2023-07-18 15:00:12,117.4230378,38.9776054,64.8,1.0
2023-07-18 15:00:13,117.4228141,38.9776121,68.5,1.0
2023-07-18 15:00:14,117.4225813,38.9776213,70.9,1.0
2023-07-18 15:00:15,117.4223446,38.9776314,72.5,1.0
2023-07-18 15:00:16,117.422109,38.9776432,73.5,1.0
2023-07-18 15:00:17,117.4218745,38.9776523,73.7,1.0
2023-07-18 15:00:18,117.4216377,38.9776598,74.0,1.0
2023-07-18 15:00:19,117.4213987,38.9776676,74.2,1.0
2023-07-18 15:00:20,117.4211593,38.9776756,74.8,1.0
2023-07-18 15:00:21,117.4209136,38.9776833,75.7,1.0
2023-07-18 15:00:22,117.420665,38.9776912,76.8,1.0
2023-07-18 15:00:23,117.4204107,38.9777005,78.1,1.0
2023-07-18 15:00:24,117.4201519,38.9777095,79.4,1.0
2023-07-18 15:00:25,117.4198888,38.9777193,80.7,1.0
2023-07-18 15:00:26,117.4196192,38.9777281,82.0,1.0
2023-07-18 15:00:27,117.4193465,38.9777379,83.3,1.0
2023-07-18 15:00:28,117.4190831,38.9777467,82.9,1.0
2023-07-18 15:00:29,117.4188323,38.9777563,80.5,1.0
2023-07-18 15:00:30,117.4185891,38.9777654,78.3,1.0
2023-07-18 15:00:31,117.4183486,38.977775,76.8,1.0
2023-07-18 15:00:32,117.4181132,38.9777827,75.1,1.0
2023-07-18 15:00:33,117.4178811,38.9777896,73.8,1.0
2023-07-18 15:00:34,117.417651,38.9777967,72.9,1.0
2023-07-18 15:00:35,117.4174267,38.9778048,71.4,1.0
2023-07-18 15:00:36,117.4172191,38.9778134,68.3,1.0
2023-07-18 15:00:37,117.4170264,38.9778221,64.6,1.0
2023-07-18 15:00:38,117.4168436,38.97783,61.1,1.0
2023-07-18 15:00:39,117.4166707,38.9778349,57.7,1.0
2023-07-18 15:00:40,117.4165083,38.9778398,54.4,1.0
